Start Date;Start Time;End Date;End Time;EAN;Meter Nr;Metertype;Register;Volume;Unit;Validation Status
21-01-2025;04:00:00;21-01-2025;04:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;04:00:00;21-01-2025;04:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.104;kWh;Validated
21-01-2025;04:15:00;21-01-2025;04:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;04:15:00;21-01-2025;04:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.021;kWh;Validated
21-01-2025;04:30:00;21-01-2025;04:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;04:30:00;21-01-2025;04:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.025;kWh;Validated
21-01-2025;04:45:00;21-01-2025;05:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;04:45:00;21-01-2025;05:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.026;kWh;Validated
21-01-2025;05:00:00;21-01-2025;05:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;05:00:00;21-01-2025;05:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.022;kWh;Validated
21-01-2025;05:15:00;21-01-2025;05:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;05:15:00;21-01-2025;05:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.022;kWh;Validated
21-01-2025;05:30:00;21-01-2025;05:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;05:30:00;21-01-2025;05:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.027;kWh;Validated
21-01-2025;05:45:00;21-01-2025;06:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;05:45:00;21-01-2025;06:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.522;kWh;Validated
21-01-2025;06:00:00;21-01-2025;06:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;06:00:00;21-01-2025;06:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.597;kWh;Validated
21-01-2025;06:15:00;21-01-2025;06:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;06:15:00;21-01-2025;06:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.523;kWh;Validated
21-01-2025;06:30:00;21-01-2025;06:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;06:30:00;21-01-2025;06:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.386;kWh;Validated
21-01-2025;06:45:00;21-01-2025;07:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;06:45:00;21-01-2025;07:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.02;kWh;Validated
21-01-2025;07:00:00;21-01-2025;07:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;07:00:00;21-01-2025;07:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.027;kWh;Validated
21-01-2025;07:15:00;21-01-2025;07:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;07:15:00;21-01-2025;07:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.019;kWh;Validated
21-01-2025;07:30:00;21-01-2025;07:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;07:30:00;21-01-2025;07:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.02;kWh;Validated
21-01-2025;07:45:00;21-01-2025;08:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;07:45:00;21-01-2025;08:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.027;kWh;Validated
21-01-2025;08:00:00;21-01-2025;08:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;08:00:00;21-01-2025;08:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.055;kWh;Validated
21-01-2025;08:15:00;21-01-2025;08:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
